id,Title,yoast_score,yoast_keyword
783,"Aumente a fidelização de clientes vencendo a síndrome do balde furado",90,"fidelização de clientes"
788,"Software de atendimento: que valor sua empresa pode entrar ao cliente?",90,"software de atendimento"
792,"Quanto custa um atendimento ruim para a sua empresa?",90,"atendimento ruim"
795,"Como as mídias sociais podem otimizar o seu SAC?",90,"mídias sociais"
799,"Como um sistema de suporte ao atendimento pode salvar seu negócio?",90,"suporte ao atendimento"
803,"Checklist - Agilidade e qualidade no atendimento ao cliente",90,"qualidade no atendimento ao cliente"
807,"O “menos é mais” do atendimento ao cliente",90,"menos é mais"
812,"Como atrair clientes através de um atendimento multicanal",90,"atrair clientes"
817,"Sistema de atendimento: 4 sinais que você precisa de um (urgente!)",90,"sistema de atendimento"
824,"4 erros cometidos pelas empresas de contabilidade e como contorná-los",60,contabilidade
839,"Contabilidade: Adapte-se para não se complicar com a crise",90,Contabilidade
876,"Como montar uma central de atendimento em 10 dias?",90,"central de atendimento"
1032,"Como reduzir custos com atitudes matadoras de atendimento ao cliente",90,"atendimento ao cliente"
1080,"Dicas para um bom atendimento ao cliente",90,"Qualidade no atendimento ao cliente"
1133,"RD Summit 2016 - O maior evento de marketing digital e vendas do Brasil",90,"RD Summit"
1174,"As 10 melhores dicas de como fidelizar clientes com atendimento",90,"fidelizar clientes"
1234,"Outubro rosa: o que é e como surgiu esse grande e importante movimento",90,"Outubro Rosa"
1259,"Base de Conhecimento - Conheça nosso novo módulo de autoatendimento",90,"base de conhecimento"
1327,"Listas personalizadas Octadesk - Sistema de chamados",90,"sistema de chamados"
1336,"Chat e telefone no Octadesk - Novos canais de atendimento",90,Chat
1436,"Chat no Octadesk - Novo canal de atendimento online",90,"atendimento online"
1454,"Mercado de aplicativos: Conheça a novidade da Octadesk!",90,"mercado de aplicativos"
1470,"Anti-spam no Octadesk",90,anti-spam
1500,"Segurança atendimento ao cliente: Veja os novos recursos da Octadesk",90,"segurança atendimento ao cliente"
1533,"Conheça os 3 pilares de um bom atendimento ao cliente",90,"bom atendimento ao cliente"
1541,"Organização: O primeiro passo para ter qualidade no atendimento",60,"qualidade no atendimento"
1578,"Gestão de pessoas: O fator que impacta diretamente na qualidade do atendimento",60,"Gestão de pessoas"
1585,"Sistema de atendimento ao cliente: o segredo para um bom atendimento",90,"Sistema de atendimento ao cliente"
1591,"14 dicas para melhorar o atendimento ao cliente através da gestão de processos",60,"Gestão de processos"
1847,"Octadesk na Band!",60,
1877,"CEO da Octadesk, Rodrigo, compartilha um pouco do seu caminho de sucesso",60,
1880,"Como um bom atendimento pode levar a um casamento?",30,"bom atendimento"
1887,"Sebrae oferece curso gratuito sobre atendimento ao cliente",60,
1890,"Qualidade no atendimento ao cliente: 50 erros que você não pode cometer",90,"qualidade no atendimento"
1899,"Como conquistar um atendimento de excelência seguindo apenas 3 regras",60,"atendimento de excelência"
1901,"O que o Paris 6 pode te ensinar sobre atendimento humanizado?",90,"atendimento humanizado"
1903,"Relacionamento com o cliente: como sua empresa deve investir?",30,
1905,"O que a Nubank pode te ensinar sobre atendimento ao cliente?",30,
1908,"Você sabe qual o futuro do atendimento ao cliente?",30,"futuro do atendimento"
1910,"Ganhe escala e velocidade no atendimento ao cliente com Chatbots",30,chatbots
1914,"10 minutos para ser atendido é muito? Para alguns SACs, parece que não",30,SACs
1956,"Novas funcionalidades no OctaChat: Deixe ele com a cara da sua empresa",60,"Chat para site"
1976,"Metodologia Octadesk: garantia de qualidade no atendimento ao cliente",90,"qualidade no atendimento ao cliente"
1988,"Webinar: Treinamento gratuito do Sistema de Chamados Octadesk",90,"sistema de chamados octadesk"
2009,"Melhore seu atendimento por e-mail com a nova função da Octadesk",60,"atendimento por e-mail"
2056,"Conheça os 5 erros que afastam os clientes",30,"erros que afastam os clientes"
2070,"Você já sabe quais são os desafios que um empreendedor enfrenta?",60,empreendedor
2074,"Conheça 5 erros que diminuem a retenção de clientes",90,"retenção de clientes"
2090,"NoVarejo: Startup procura oferecer qualidade no atendimento",60,NoVarejo
2108,"Atendimento por e-mail: Talvez seja a hora ideal para mudanças!",90,"Atendimento por e-mail"
2320,"Planilha de atendimento: por que ela não é eficiente para o seu negócio?",90,"planilha de atendimento"
2338,"7 Fatores que só quem trabalha em Startup tem em comum",60,startup
2339,"30 tecnologias que vão transformar o seu negócio em uma scale-up",60,scale-up
2340,"Qual a importância do atendimento ao cliente para as empresas?",30,"importância do atendimento"
2346,"Planilha de cadastro de clientes: Melhore seu help desk",90,"planilha de cadastro de clientes"
2354,"Gerencie seu Help Desk com uma planilha de controle de chamados",90,"planilha de controle de chamados"
2359,"Planilha de Help Desk: melhore o relacionamento com o seu cliente",90,"planilha de help desk"
2368,"Planilha de atendimento ao cliente: ganhe produtividade no seu help desk",90,"planilha de atendimento ao cliente"
2388,"Planilhas de atendimento ao cliente: comece a estruturar seu SAC com nosso Kit",90,"planilhas de atendimento ao cliente"
2393,"Atualização automática da lista de tickets",90,tickets
2434,"Quais os benefícios de trabalhar em uma Startup?",60,startup
2439,"Checklist de atendimento ao cliente: estruture e acelere o crescimento do seu helpdesk",90,checklist
2467,"5 dicas para aumentar suas vendas nesse dia dos namorados",90,vendas
2471,"Atendimento por chat: o atendimento em tempo real que seu cliente precisa",90,"atendimento por chat"
2474,"Quais as vantagens de adotar um sistema Help desk?",90,"help desk"
2476,"Você já sabe para que serve um sistema de chamados?",90,"sistema de chamados"
2483,"Conheça o Octadesk! A melhor alternativa para o Zendesk",90,Zendesk
2484,"Conheça o Octadesk! A melhor alternativa para o Freshdesk",90,freshdesk
2503,"4 dicas simples para impulsionar suas vendas no dia dos namorados",90,vendas
2515,"Atendimento online: 5 dicas para se destacar no e-commerce",90,"atendimento online"
2541,"eBooks de Atendimento ao cliente: aumente a qualidade do seu serviço",90,"atendimento ao cliente"
2552,"O Kit de atendimento ao cliente mais completo do Brasil!",90,"atendimento ao cliente"
2565,"O que é customer centric? Conheça essa estratégia!",90,"Customer Centric"
2578,"Excelente produto e mau atendimento: por que você está falhando?",90,"mau atendimento"
2587,"Como a qualificação e o recrutamento de pessoas impacta o atendimento ao cliente",30,"recrutamento de pessoas"
2606,"Veja os 5 fatores que podem diminuir a retenção de clientes",30,"retenção de clientes"
2611,"E-Commerce News: Onde a Octadesk planeja investir?",60,"E-Commerce News"
2615,"Passo a passo da integração entre Atende Simples e Octadesk",90,"Atende Simples"
2636,"Bom atendimento: como ele pode valorizar o seu produto?",60,"bom atendimento"
2657,"O guia completo para realizar um bom atendimento ao cliente",60,"atendimento ao cliente"
2674,"Conheça as Startups que mais geram valor para o mercado Brasileiro",60,"Liga ventures"
2677,"E-commerce: dicas e tendências para ajudar no atendimento",30,e-commerce
2679,"Quais são os canais de atendimento mais eficientes para seus clientes?",60,"canais de atendimento"
2695,"O que é cultura de atendimento e por que adotá-la?",60,"cultura de atendimento"
2737,"Service desk ou Help desk? Veja quais as diferenças entre eles",90,"service desk"
2768,"7 Dicas infalíveis para prestar um bom atendimento ao cliente!",90,"bom atendimento ao cliente"
2787,"Quais os benefícios em ter um escritório compartilhado?",60,"escritório compartilhado"
2892,"Excelência no atendimento: qual a importância para o seu negócio?",90,"excelência no atendimento"
2909,"Novas funcionalidades na tela de tickets de atendimento Octadesk",90,"tickets de atendimento"
2923,"O que é omnichannel e multichannel? Saiba qual a diferença entre eles",90,omnichannel
2965,"5 dicas para melhorar seu relacionamento com o cliente",90,"relacionamento com o cliente"
2980,"Atendimento ao cliente para arquitetos: 4 dicas para você fazer bem feito",90,"atendimento ao cliente para arquitetos"
2981,"Rodrigo Ricco: do antigo ao novo mundo do empreendedorismo",30,"Rodrigo Ricco"
3180,"NPS (Net Promoter Score): Por que utilizar essa métrica?",90,NPS
3254,"Customer Success: o que é e como colocar em prática",90,"Customer Success"
3289,"4 erros mais comuns de relacionamento com o cliente",90,"relacionamento com o cliente"
3406,"O atendimento ao cliente no sac nunca foi tão POP!",30,
3418,"Relação entre SAC das empresas e consumidor tem melhorado",60,
3478,"Chat de atendimento online - conheça as novidades do OctaChat!",90,"Chat de atendimento"
